"gameId","playId","snapDetail","snapTime","operationTime","hangTime","kickType","kickDirectionIntended","kickDirectionActual","returnDirectionIntended","returnDirectionActual","missedTackler","assistTackler","tackler","kickoffReturnFormation","gunners","puntRushers","specialTeamsSafeties","vises","kickContactType"
2018090600,37,NA,NA,NA,3.85,"D","R","R",NA,NA,NA,NA,NA,"8-0-2",NA,NA,"PHI 23; PHI 27",NA,NA
2018090600,366,"OK",0.84,2.12,4.46,"N","C","C","C","R","PHI 57",NA,"PHI 54",NA,"PHI 18; PHI 29",NA,NA,"ATL 83; ATL 27; ATL 34; ATL 21","CC"
2018090600,658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHI 58",NA,NA
2018090600,677,NA,NA,NA,4.06,"D","R","R","C","C","ATL 83","ATL 22","ATL 27","8-0-2",NA,NA,"ATL 17; ATL 22",NA,NA
2018090600,872,"OK",0.84,2,4.35,"N","C","L",NA,NA,NA,NA,NA,NA,"PHI 18; PHI 29","ATL 85","ATL 37","ATL 83; ATL 34; ATL 21","BF"
2018090600,973,"OK",0.86,2.19,4.98,"N","L","L",NA,NA,NA,NA,NA,NA,"ATL 83; ATL 28","PHI 28; PHI 37; PHI 54; PHI 57",NA,"PHI 29; PHI 32","CC"
2018090600,1368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ATL 23; ATL 45",NA,NA
2018090600,1387,NA,NA,NA,4.09,"D","R","R",NA,NA,NA,NA,NA,"8-0-2",NA,NA,"PHI 23; PHI 27",NA,NA
2018090600,1587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHI 58",NA,NA
2018090600,1606,NA,NA,NA,3.63,"D","C","C","C","R",NA,NA,"ATL 36","8-0-2",NA,NA,"ATL 14; ATL 17",NA,NA
2018090600,1850,"OK",0.81,2,4.53,"N","R","R",NA,NA,NA,NA,NA,NA,"PHI 18; PHI 29","ATL 28; ATL 85",NA,"ATL 83; ATL 23","BB"
2018090600,1989,"OK",0.76,2.12,4.62,"N","C","C","C","C","ATL 83",NA,"ATL 34",NA,"ATL 83; ATL 28",NA,NA,"PHI 29; PHI 37; PHI 32","CC"
